,eta,M,M_sqr,U,U_sqr
0,0.5,1023.48,1047512.56,1470.66,2162849.58
1,0.4898989898989899,1023.56,1047675.92,1481.19898989899,2193956.8529803087
2,0.4797979797979798,1023.52,1047594.32,1491.297171717172,2223976.8172043674
3,0.4696969696969697,1023.28,1047103.12,1500.8884848484852,2252677.1387144164
4,0.4595959595959596,1023.52,1047594.48,1512.0343434343436,2286257.4474625047
5,0.4494949494949495,1023.5,1047553.32,1522.2419191919191,2317230.2434006743
6,0.4393939393939394,1023.32,1047185.04,1532.0993939393938,2347339.135151515
7,0.4292929292929293,1023.32,1047185.12,1542.4959595959597,2379304.552184471
8,0.41919191919191917,1023.4,1047349.04,1553.17898989899,2412373.3129986743
9,0.40909090909090906,1023.36,1047267.12,1563.4127272727271,2444268.618347107
10,0.398989898989899,1023.34,1047225.88,1573.5976767676766,2476219.1334261815
11,0.3888888888888889,1023.36,1047266.72,1583.8466666666666,2508579.747654321
12,0.3787878787878788,1023.24,1047022.24,1594.0290909090909,2540945.0226262617
13,0.3686868686868687,1023.14,1046817.08,1604.081717171717,2573089.8656861545
14,0.35858585858585856,1023.2,1046940.24,1614.5749494949498,2606866.740122436
15,0.3484848484848485,1023.12,1046776.4,1624.6581818181817,2639527.988007346
16,0.33838383838383834,1023.02,1046572.28,1634.646565656566,2672089.7535955515
17,0.3282828282828283,1023.12,1046776.16,1645.3872727272728,2707312.015631058
18,0.3181818181818182,1023.38,1047307.88,1656.1790909090912,2742942.685371901
19,0.30808080808080807,1023.04,1046612.8,1665.7610101010102,2774776.223573106
20,0.29797979797979796,1023.34,1047225.88,1676.8253535353538,2811754.8267350276
21,0.28787878787878785,1023.2,1046940.32,1686.9824242424243,2845925.073572084
22,0.2777777777777778,1023.12,1046776.24,1696.9,2879484.6516049393
23,0.2676767676767676,1022.9,1046326.68,1706.6734343434343,2912753.576225894
24,0.25757575757575757,1023.18,1046899.24,1717.8536363636367,2951036.5239761258
25,0.24747474747474746,1023.32,1047185.28,1728.6341414141416,2988188.272947657
26,0.23737373737373735,1022.98,1046490.6,1737.9114141414145,3020357.594181205
27,0.22727272727272724,1023.06,1046653.88,1748.6063636363642,3057640.4349586787
28,0.21717171717171713,1022.82,1046163.64,1758.0924242424248,3090913.9718589946
29,0.20707070707070707,1023.1,1046735.88,1769.2459595959597,3130251.3945974894
