,eta,M,M_sqr,U,U_sqr
0,1.5,1013.08,1026354.8,-936.5880000000001,877201.2072000002
1,1.4899665551839465,1013.1,1026396.68,-926.5011170568562,858409.1101690453
2,1.479933110367893,1013.16,1026517.52,-916.2450301003344,839509.691810955
3,1.4698996655518395,1012.72,1025622.56,-906.0987892976586,821017.7473145892
4,1.459866220735786,1012.12,1024410.88,-895.6737993311039,802234.983814065
5,1.4498327759197325,1012.14,1024449.96,-885.499745819398,784113.4064820574
6,1.439799331103679,1012.24,1024651.52,-875.4704749163881,766451.8078729546
7,1.4297658862876255,1012.16,1024491.52,-865.025839464883,748273.865560448
8,1.419732441471572,1010.98,1022107.16,-854.6171036789297,730373.7806879701
9,1.4096989966555185,1011.62,1023407.8,-844.6916989966559,713508.6074180782
10,1.399665551839465,1011.14,1022432.44,-834.5658260869567,696503.8298537289
11,1.3896321070234114,1010.86,1021863.16,-824.1695117056859,679258.4440803572
12,1.379598662207358,1011.08,1022304.8,-814.0066153846154,662609.6046965427
13,1.3695652173913044,1010.44,1021023.84,-803.4654782608695,645562.0275924387
14,1.359531772575251,1009.96,1020047.36,-793.3707090301006,629440.6430375814
15,1.3494983277591972,1009.1,1018312.0,-783.1957625418061,613398.2613024396
16,1.339464882943144,1009.46,1019042.0,-773.1572207357859,597774.9188457559
17,1.3294314381270902,1008.24,1016572.24,-762.7179531772573,581740.7430469993
18,1.319397993311037,1008.53,1017164.66,-752.55245819398,566337.8184373622
19,1.3093645484949832,1008.28,1016662.16,-742.3040869565216,551018.0180276954
20,1.2993311036789297,1007.78,1015657.32,-732.2578996655517,536204.6685762173
21,1.2892976588628762,1008.11,1016315.26,-722.1818628762541,521548.9141758167
22,1.2792642140468227,1007.0,1014082.4,-711.6670635451504,506473.0785760158
23,1.2692307692307692,1006.83,1013740.94,-701.5456153846154,492168.7000437869
24,1.2591973244147157,1005.98,1012031.08,-691.4953244147157,478168.384669035
25,1.2491638795986622,1006.4,1012877.28,-681.3205284280936,464199.88042621897
26,1.2391304347826086,1006.26,1012597.56,-671.0913913043479,450366.79049149336
27,1.2290969899665551,1005.24,1010540.88,-660.9414581939799,436845.98423030606
28,1.2190635451505016,1005.04,1010142.16,-650.9416254180602,423726.8746744176
29,1.2090301003344481,1005.1,1010263.88,-640.7711538461539,410589.8023864275
30,1.1989966555183946,1003.68,1007417.6,-630.6369632107023,397704.85212330066
31,1.1889632107023411,1003.88,1007819.44,-620.4443879598663,384953.06849388254
32,1.1789297658862876,1003.04,1006139.76,-610.215712374582,372365.73272727156
33,1.1688963210702341,1002.13,1004311.66,-600.1200702341138,360146.30824410694
34,1.1588628762541806,1000.6,1001243.28,-589.8581939799332,347935.5068238163
35,1.148829431438127,1001.46,1002970.84,-580.3027224080267,336753.34600416996
36,1.1387959866220736,1000.6,1001243.92,-569.8392642140469,324719.36141812283
37,1.12876254180602,999.64,999331.92,-559.92218729097,313515.0526083377
38,1.1187290969899666,999.85,999753.42,-549.7822876254181,302262.3652130692
39,1.108695652173913,999.94,999927.8,-539.4571304347827,291016.4118465029
40,1.0986622073578596,999.56,999185.84,-529.6427959866221,280523.5633063076
41,1.088628762541806,998.885,997832.73,-519.535941471572,269919.6796682801
42,1.0785953177257526,997.78,995624.72,-509.37183612040144,259462.24619429544
43,1.068561872909699,997.64,995344.24,-499.24406688963217,249247.3168532701
44,1.0585284280936453,996.435,992947.27,-489.4812742474915,239594.07181915402
45,1.048494983277592,995.72,991518.48,-479.461424749164,229886.13673428717
46,1.0384615384615383,995.67,991438.54,-469.4309999999998,220368.15755147915
47,1.028428093645485,995.0525,990193.785,-459.49069565217405,211134.56225903303
48,1.0183946488294313,994.14,988386.0,-449.5848561872909,202129.62724273768
49,1.008361204013378,993.6,987301.64,-439.68969230769244,193329.86578089293
50,0.9983277591973244,992.39,984905.78,-429.6944849498328,184641.2756167761
51,0.9882943143812709,992.76,985633.44,-419.7250635451504,176172.4113509827
52,0.9782608695652174,991.12,982371.36,-410.0319130434784,168128.99365066167
53,0.9682274247491639,990.74,981624.56,-400.03463879598667,160030.68656222866
54,0.9581939799331104,990.02,980207.36,-390.190204013378,152252.06237198468
55,0.9481605351170569,988.51,977221.58,-380.25917056856196,144601.0417912328
56,0.9381270903010033,988.195,976613.95,-370.3305,137148.7087393776
57,0.9280936454849498,987.12,974490.24,-360.63879933110366,130065.03847953599
58,0.9180602006688963,986.92,974102.16,-350.7879732441472,123057.16149097208
59,0.9080267558528428,985.82,971933.18,-340.7899364548495,116142.90411043052
60,0.8979933110367893,983.98,968321.96,-331.4214581939799,109845.35787489625
