,eta,M,M_sqr,U,U_sqr
0,0.1,-0.02173828125,1583.2937890625,20.1589619140625,427.2464318359374
1,0.15000000000000002,-0.067080078125,2058.29130859375,46.316419921874996,2194.9435784179695
2,0.20000000000000004,2.32,2853.86,84.625,7257.294000000003
3,0.25000000000000006,0.114931640625,4088.19380859375,137.55687255859377,19088.804954833988
4,0.30000000000000004,0.199990234375,6677.69685546875,208.007349609375,43544.69541914063
5,0.3500000000000001,-0.6890234375,13014.9328515625,301.6065527343751,91420.0497717774
6,0.40000000000000013,3.736962890625,37897.21564453125,428.21196093750024,184130.19475625007
7,0.45000000000000007,-11.41427734375,243875.39859375,612.4415273437502,376457.7166945314
8,0.46,-34.245087890625,353127.2446679688,657.5502523437502,433785.70528979704
9,0.465,-2.79232421875,407495.32484375,679.8655516113282,463610.5066085141
10,0.47000000000000003,121.226474609375,463832.96177734376,702.2309931640625,494479.16589863284
11,0.47500000000000003,101.477109375,510214.1899609375,723.2385021972656,524382.9305505251
12,0.48000000000000004,-751.18125,589293.1825,748.6512000000001,561566.2060800001
13,0.48500000000000004,-271.880966796875,608191.3256054687,764.948479296875,586306.0177267335
14,0.49000000000000005,348.94162109375,648369.222734375,784.7229509765625,616870.2644665587
15,0.49500000000000005,-397.34625,678108.941875,803.0310750000001,645888.0360150088
16,0.5,105.754111328125,706162.2516601563,821.0392529296874,675078.2595263672
17,0.5050000000000001,733.047578125,734529.5494140625,838.933503759766,704722.8726179795
18,0.51,866.10203125,755596.5396875,855.7676484375,733209.5796319689
19,0.5150000000000001,880.13740234375,778763.46609375,872.8075206542972,762619.4623993378
20,0.52,891.6325,797942.9207421875,889.0701371093751,791230.8543802813
21,0.5250000000000001,908.945,827501.45,904.7430000000002,819320.0691375004
22,0.53,898.36,810141.4,919.1842999999999,845724.9952460001
23,0.5350000000000001,932.64,870562.96,942.4667000000003,888905.7982750004
24,0.54,925.045,857116.691875,951.0371156250002,905127.3603663752
25,0.5450000000000002,931.596328125,869027.79171875,965.6604640625003,933112.3303451802
26,0.55,935.03,875574.74,979.422125,959912.4749500001
27,0.55,937.824609375,880484.81921875,980.151734375,961300.0494453126
28,0.6000000000000001,976.1271875,953137.005625,1115.2888125000002,1244291.1023250003
29,0.6500000000000001,995.03,990232.56,1237.7007500000002,1532205.4731750006
30,0.7000000000000002,1005.155,1010451.23,1352.4525000000006,1829370.2875000008
31,0.7500000000000002,1011.77,1023722.5,1461.7500000000002,2136873.600000001
32,0.8000000000000003,1016.48,1033256.4,1568.688,2460915.5840000017
