,eta,M,M_sqr,U,U_sqr
127,0.1817042606516291,1004.94,1009968.12,1010.5137203007519,1021279.7233311826
128,0.1791979949874687,1004.65,1009380.54,1012.0241343358394,1024358.5773150496
129,0.1766917293233083,1003.08,1006231.52,1012.2712601503758,1024843.8881522246
130,0.1741854636591479,1002.66,1005385.04,1014.2632030075189,1028880.8400636987
131,0.1716791979949875,1004.2,1008474.0,1018.5701493734334,1037633.7685887457
132,0.16917293233082709,1002.76,1005590.96,1018.8133503759399,1038150.7826084122
133,0.16666666666666669,1003.52,1007130.64,1023.1590666666666,1047044.7606204444
134,0.16416040100250628,1004.34,1008762.6,1027.052342857143,1055003.9486369414
135,0.16165413533834588,1003.6,1007272.88,1028.294109774436,1057543.0002977937
136,0.15914786967418548,1002.48,1005032.32,1028.8486436090225,1058683.8197576948
137,0.15664160401002508,1002.88,1005843.84,1032.1416681704259,1065496.3923011408
138,0.15413533834586468,1003.08,1006246.0,1036.0131248120301,1073511.9620091582
139,0.15162907268170428,1002.41,1004901.34,1036.9051012531327,1075355.8984616955
140,0.14912280701754388,1002.5,1005076.61,1039.2505359649122,1080220.3564589554
141,0.14661654135338348,1002.76,1005599.28,1042.1759969924813,1086323.0778875377
142,0.14411027568922308,1001.74,1003562.2,1043.0381724310778,1088105.1181361247
143,0.14160401002506268,1002.5,1005069.96,1046.3587799498746,1095043.39079734
144,0.13909774436090228,1001.11,1002301.7,1047.651057142857,1097777.7702169272
145,0.13659147869674187,1003.02,1006116.2,1052.813215037594,1108608.2407538288
146,0.13408521303258147,1002.27,1004604.5,1053.6234135338345,1110294.0853979585
147,0.13157894736842107,1001.805,1003688.37,1055.7594526315788,1114817.2157940166
148,0.12907268170426067,1001.09,1002248.94,1057.1070290726818,1117643.6765748677
149,0.12656641604010027,1001.14,1002358.425,1059.9646482456142,1123718.2580690035
150,0.12406015037593987,1000.47,1001010.7,1061.3897413533834,1126721.5368653815
151,0.12155388471177947,1000.83,1001735.86,1064.2192255639097,1132762.0553430365
152,0.11904761904761907,1000.66,1001389.32,1066.5494095238096,1137725.1730111567
153,0.11654135338345867,1000.31,1000693.54,1068.5525187969924,1142006.302974091
154,0.11403508771929827,999.84,999763.72,1070.7086078947368,1146625.8385942634
155,0.11152882205513787,1000.8,1001673.04,1074.3551548872179,1154424.5397864152
156,0.10902255639097747,999.34,998754.48,1073.9101984962406,1153474.4805724197
157,0.10651629072681706,999.0,998066.64,1075.1862255639098,1156225.4517592192
158,0.10401002506265666,998.225,996553.95,1078.3285927318295,1163003.3122036622
159,0.10150375939849626,998.7,997522.2,1081.972595488722,1170928.309252727
160,0.09899749373433586,998.735,997553.81,1084.0474380952382,1175361.1201362254
161,0.09649122807017546,998.505,997109.79,1086.0674263157894,1179773.9791864634
162,0.09398496240601506,997.66,995410.36,1086.7397624060147,1181223.2923069885
163,0.09147869674185466,998.19,996477.1,1090.6238796992482,1189693.0883081409
164,0.08897243107769426,997.48,995061.92,1091.9549794486215,1192562.6555101275
165,0.08646616541353386,998.36,996798.4,1096.3628390977442,1202192.5095911503
166,0.08395989974937346,997.695,995498.19,1097.823427819549,1205444.5808326823
167,0.08145363408521306,995.62,991382.24,1098.4097328320802,1206749.1105752306
168,0.07894736842105265,994.72,989570.8,1098.0434736842105,1205934.3019400775
169,0.07644110275689225,995.96,992034.32,1101.5949192982457,1213735.649719712
170,0.07393483709273185,995.54,991214.48,1105.5853122807018,1222570.7170972715
171,0.07142857142857145,995.18,990475.24,1106.4817142857141,1224525.7686654695
172,0.06892230576441105,995.08,990274.32,1110.0863919799497,1232509.8727394445
173,0.06641604010025065,994.9175,989974.645,1111.5665694235588,1235821.9256011343
174,0.06390977443609025,996.62,993348.2,1116.2034406015036,1246160.9609169867
175,0.06140350877192985,994.8,989755.92,1115.241789473684,1244051.6821003729
176,0.05889724310776945,994.27,988685.02,1117.264038095238,1248533.5568185884
177,0.05639097744360905,993.45,987078.22,1119.6037834586466,1253797.074747528
178,0.053884711779448646,994.26,988651.64,1123.3333864661652,1262062.7862478823
179,0.051378446115288245,993.74,987631.16,1124.6987829573934,1265192.2063651043
180,0.048872180451127845,995.4,990924.8,1129.885831578947,1276899.9672806477
181,0.046365914786967444,994.48,989106.72,1130.3896250626567,1278060.8613459563
182,0.04385964912280704,992.86,985877.24,1130.7459087719296,1278830.5573420594
183,0.04135338345864664,992.62,985431.22,1132.199504511278,1282188.0492271
184,0.03884711779448624,993.16,986478.64,1136.3185964912282,1291495.390891349
185,0.03634085213032584,992.02,984246.92,1137.261947869674,1293656.3290440952
186,0.03383458646616544,990.98625,982215.8825,1138.7772400375939,1297094.2580007366
187,0.03132832080200504,990.47,981177.3,1140.3765380952382,1300776.4464942897
188,0.028822055137844638,988.52,977329.36,1139.266422055138,1298225.4891980505
189,0.026315789473684237,989.98,980212.92,1144.879894736842,1311036.994137529
190,0.023809523809523836,990.3825,981013.945,1148.4473142857141,1319233.913841451
191,0.021303258145363435,989.49125,979255.5675,1149.0652124686717,1320673.1885395192
192,0.018796992481203034,990.385,981000.51,1152.3343406015038,1328168.0585116565
193,0.016290726817042633,988.675,977674.03,1152.5937656641604,1328817.2731466026
194,0.013784461152882233,987.64375,975640.8925,1154.232588095238,1332595.5366305087
195,0.011278195488721832,988.04,976376.08,1157.1846917293233,1339362.9017292263
196,0.00877192982456143,986.64,973665.08,1159.9088631578945,1345716.4728970737
197,0.00626566416040103,986.84,974027.84,1160.9109919799498,1347999.0507728742
198,0.003759398496240629,986.02,972421.96,1162.6743578947367,1352115.1071181584
199,0.0012531328320802282,984.93,970296.17,1163.9410518796992,1355111.8121681046
200,-0.0012531328320801727,984.9,970270.16,1165.3276105263158,1358370.7631718917
201,-0.003759398496240518,984.09125,968682.42625,1167.9716286654134,1364521.1654924792
202,-0.006265664160400974,983.0225,966604.465,1169.4234388471177,1367933.262287218
203,-0.00877192982456143,982.3153125,965227.31375,1171.359279111842,1372464.3386515635
204,-0.011278195488721776,981.46,963546.78,1172.6499477443608,1375493.1956844588
205,-0.013784461152882121,980.76,962214.44,1175.0799481203007,1381188.316366679
206,-0.016290726817042578,983.15,966791.06,1177.5118280701752,1386908.071159683
207,-0.018796992481203034,979.13,959022.7,1177.0296992481203,1385815.0658622182
208,-0.02130325814536338,980.39,961463.4,1179.7089012531328,1392146.4690416735
