,eta,M,M_sqr,U,U_sqr,flip_count,K
0,0.1,634.485,403358.55,-401.9225,161949.1679,619715.0,200.0
1,0.15000000000000002,720.67,520288.66,-521.435,272575.0285,250729.0,100.0
2,0.20000000000000004,801.6825,643313.5075,-660.6245000000001,437056.497725,3047516.0,1600.0
3,0.25000000000000006,869.025,755665.65,-807.28875,652363.099375,275743.0,200.0
4,0.30000000000000004,914.98,837577.16,-946.8680000000002,897248.5976000001,48899.0,50.0
5,0.3500000000000001,950.74,904124.92,-1084.804,1177349.2998000004,32692.0,50.0
6,0.40000000000000013,976.17,953038.62,-1217.7210000000002,1483254.1558000005,44662.0,100.0
7,0.42,983.41,967199.38,-1267.7474,1607524.544584,38358.0,100.0
8,0.425,984.9,970160.04,-1279.6435,1637974.461925,18545.0,50.0
9,0.43,986.85,973975.6,-1293.07665,1672391.625337,70943.0,200.0
10,0.435,988.3,976838.28,-1304.9639000000002,1703277.4534439999,34043.0,100.0
11,0.44,990.86,981910.52,-1318.6876000000002,1739321.645488,16375.0,50.0
12,0.445,990.36,980904.88,-1328.4069,1764972.8437289998,15603.0,50.0
13,0.45,990.48,981138.32,-1337.343,1788785.6032999998,15514.0,50.0
14,0.455,993.815,987741.15,-1353.015025,1830918.48413675,58159.0,200.0
15,0.46,993.855,987825.69,-1362.8798000000002,1857728.818528,56195.0,200.0
16,0.465,996.16,992408.12,-1376.5115000000003,1895079.2648690003,27263.0,100.0
17,0.47000000000000003,997.23,994544.38,-1388.1887000000002,1927388.1890200002,51291.0,200.0
18,0.47500000000000003,998.64,997336.88,-1400.60875,1961939.0342625005,24812.0,100.0
19,0.48000000000000004,998.71,997487.56,-1410.4838,1989729.1778080002,48459.0,200.0
20,0.48500000000000004,1000.2275,1000518.985,-1423.1754500000002,2025692.1952535002,92018.0,400.0
21,0.49000000000000005,1002.08,1004202.48,-1436.3422,2063235.28254,11044.0,50.0
22,0.49500000000000005,1002.82,1005700.2,-1447.9787000000003,2096865.7465830005,10337.0,50.0
23,0.5,1001.88,1003809.68,-1455.41,2118428.29,10325.0,50.0
24,0.55,1008.76,1017644.16,-1566.826,2455189.4902000003,14021.0,100.0
25,0.6000000000000001,1014.3,1028825.88,-1678.3380000000002,2816933.8428000007,4660.0,50.0
26,0.6500000000000001,1017.78,1035892.28,-1784.6710000000003,3185166.068300002,3287.0,50.0
27,0.7000000000000002,1019.08,1038535.28,-1886.7060000000006,3559745.306000001,2194.0,50.0
28,0.7500000000000002,1020.6,1041633.6,-1989.7650000000003,3959245.5975000006,1520.0,50.0
29,0.8000000000000003,1022.22,1044937.56,-2093.686,4383556.559600003,1043.0,50.0
